date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:26	12092/12092	---M--	200	added ('OK')	image/png	etag:%229f6e22949ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_lotoHotBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_lotoHotBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:26	9780/9780	---M--	200	added ('OK')	image/png	etag:%22d7b8903aa3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_slotHotBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_slotHotBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:27	7783/7783	---M--	200	added ('OK')	image/png	etag:%22ef2bec8e9ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_hotBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_hotBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:27	1203/1203	---M--	200	added ('OK')	image/png	etag:%224f2f6f769ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/icon_hot.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/icon_hot.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:27	972/972	---M--	200	added ('OK')	image/png	etag:%22c83035a59ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/icon_new.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/icon_new.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:27	19283/19283	---M--	200	added ('OK')	image/png	etag:%22d4e125c9ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/btn_AV.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/btn_AV.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:28	23349/23349	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Jan%202023%2007:30:49%20GMT	https://vn2.ku6122.net/bundles/mobile_Osasuna.css?v=nqxkVEZYnaFh6xicxacBs9UwJnsldeAdsh3joXgUmVE1	F:/project/ad/vn2.ku6122.net/bundles/mobile_Osasunab2ec.css	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:28	5346/5346	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Jan%202023%2007:30:49%20GMT	https://vn2.ku6122.net/bundles/mobile_aboutUs.css?v=nvAvaJ3tKLcNYc9qJo1LgubauhP7JXgDDa-t7gOrxZw1	F:/project/ad/vn2.ku6122.net/bundles/mobile_aboutUs9b39.css	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:28	33828/33828	---M--	200	added ('OK')	image/png	etag:%22bc238aa69ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/img_video04.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/img_video04.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:28	39230/39230	---M--	200	added ('OK')	image/png	etag:%2214617f40a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/img_video01.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/img_video01.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:29	34471/34471	---M--	200	added ('OK')	image/png	etag:%2288d65631a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/img_video02.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/img_video02.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
